,name,rating,address,price_level,place,CP,latitude,longitude,geometry
0,OPIUM CLUB,3.8,"Calle de José Abascal, 56, 28003 Madrid, Spain",3.0,club,28003,40.437878,-3.692209,"{'type': 'Point', 'coordinates': [40.437878, -3.692209]}"
1,Goya Social Club,3.6,"Calle de Goya, 43, 28001 Madrid, Spain",2.0,club,28001,40.425301,-3.682990999999999,"{'type': 'Point', 'coordinates': [40.425301, -3.682990999999999]}"
2,Kapital,3.8,"C. de Atocha, 125, 28012 Madrid, Spain",3.0,club,28012,40.4097611,-3.6931083,"{'type': 'Point', 'coordinates': [40.4097611, -3.6931083]}"
3,In Da Club Madrid,0.0,"Calle de Cea Bermúdez, Número 21, 28003 Madrid, Spain",2.0,club,28003,40.4386454,-3.7095126,"{'type': 'Point', 'coordinates': [40.4386454, -3.7095126]}"
4,Planet Club,4.6,"C. del Príncipe, 20, 28012 Madrid, Spain",2.0,club,28012,40.4152145,-3.7005493,"{'type': 'Point', 'coordinates': [40.4152145, -3.7005493]}"
5,Executives Club Madrid,5.0,"Calle de María de Molina, 26, 28006 Madrid, Spain",2.0,club,28006,40.4375802,-3.6847934,"{'type': 'Point', 'coordinates': [40.4375802, -3.6847934]}"
6,Ochoymedio,3.6,"C. de Barceló, 11, 28004 Madrid, Spain",3.0,club,28004,40.4270749,-3.6997571,"{'type': 'Point', 'coordinates': [40.4270749, -3.6997571]}"
7,Cibeles Night Club,3.7,"Calle de las Hileras, 17, 28013 Madrid, Spain",1.0,club,28013,40.4179793,-3.7075008,"{'type': 'Point', 'coordinates': [40.4179793, -3.7075008]}"
8,Eleven Club Madrid,3.7,"Calle de Echegaray, 11, 28014 Madrid, Spain",2.0,club,28014,40.41562649999999,-3.6995514,"{'type': 'Point', 'coordinates': [40.41562649999999, -3.6995514]}"
9,Nomad Club,4.0,"Calle de Manuel Fernández y González, 6, 28014 Madrid, Spain",2.0,club,28014,40.4150834,-3.699651799999999,"{'type': 'Point', 'coordinates': [40.4150834, -3.699651799999999]}"
10,The Host Club,4.2,"Calle de Ferraz, 38, 28008 Madrid, Spain",2.0,club,28008,40.4263181,-3.7172868,"{'type': 'Point', 'coordinates': [40.4263181, -3.7172868]}"
11,ThunderCat Club,3.9,"Calle de Campoamor, 11, 28004 Madrid, Spain",2.0,club,28004,40.426252,-3.695741899999999,"{'type': 'Point', 'coordinates': [40.426252, -3.695741899999999]}"
12,Commo,3.7,"Calle de Espoz y Mina, 22, 28012 Madrid, Spain",2.0,club,28012,40.41526229999999,-3.702391,"{'type': 'Point', 'coordinates': [40.41526229999999, -3.702391]}"
